Age,Temperature
0,13.458
0.5,11.07026667
1,11.96786667
1.5,13.28786667
2,12.01
2.5,12.87166667
3,13.45833333
3.5,14.94333333
4,14.18333333
4.5,13.45
5,15.68333333
5.5,15.09666667
6,14.95
6.5,14.67
7,15.73666667
7.5,15.44333333
8,15.76333333
8.5,15.65666667
9,15.73666667
9.5,15.23
10,16.61666667
10.5,16.03
11,15.95
11.5,15.89666667
12,16.67
12.5,16.31
13,15.38111111
13.5,17.01666667
14,18.43
14.5,18.64333333
15,18.27888889
15.5,19.12333333
16,20.20955556
16.5,19.334
17,17.822
17.5,18.25133333
18,16.93666667
18.5,18.214
19,17.20866667
19.5,16.98066667
20,17.918
20.5,17.65666667
21,17.582
21.5,17.50733333
22,18.08333333
22.5,18.00066667
23,18.35
23.5,17.92333333
24,18.60333333
24.5,18.00333333
25,17.81666667
25.5,17.52333333
26,17.8444
26.5,17.47
27,16.86466667
27.5,17.35
28,17.70466667
28.5,17.95
29,17.31
29.5,17.31888889
30,17.58333333
30.5,18.11
31,17.92333333
31.5,17.93666667
32,18.48925926
32.5,17.65666667
33,18.35
33.5,16.67
34,19.39
34.5,20.15
35,20.67
35.5,20.03486957
36,19.99509091
36.5,21.33
37,21.754
37.5,22.01
38,20.934
38.5,21.876
39,21.054
39.5,21.898
40,22.058
40.5,22.772
41,22.418
41.5,23.508
42,23.518
42.5,23.018
43,24.5
43.5,25.286
44,24.042
44.5,23.67
45,23.572
45.5,23.64
46,24.678
46.5,24.054
47,25.39
47.5,25.911
48,26.91
48.5,26.382
49,27.038
49.5,28.266
50,28.054
50.5,29.518
51,26.726
51.5,28.15
52,26.818
52.5,28.07
53,28.27
53.5,27.202
54,26.922
54.5,27.994
55,25.386
55.5,26.446
56,25.262
56.5,25.342
57,24.866
57.5,25.03
58,25.922
58.5,25.69
59,23.07
59.5,22.642
60,24.602
60.5,23.796
61,23.17
61.5,24.31
62,24.75
62.5,24.63
63,24.39
